Address,Neighborhood,House Type,Price,Bath,Crime Index,Minutes to Loop,Miles to Lake,Age,Lot (sqft),SIZE (sqft),School Index
"4637 N Drake Ave #1, Chicago IL",Albany Park,Condo,268000,,4.9,18,4.54,.,.,.,16.7
"4705 N Spaulding Ave, Chicago IL",Albany Park,Single-Family Home,111000,1,3.4,18,4.08,95,3920,1114,21.2
"4827 N Kimball Ave #2, Chicago IL",Albany Park,Condo,205000,,3.1,17,4.19,.,.,.,21.2
"3102 W Argyle St #1, Chicago IL",Albany Park,Condo,55000,,1.7,20,3.61,.,.,.,57.1
"4630 N Central Park Ave, Chicago IL",Albany Park,Multi-Family Home,350000,3,4.9,18,4.65,95,4356,4584,59.5
"4425 N Richmond St, Chicago IL",Albany Park,Single-Family Home,445000,1,1.88,18,3.63,88,3920,1170,37.5
"3650 W Leland Ave #2, Chicago IL",Albany Park,Condo,180000,,5.73,19,4.72,.,.,.,59.5
"4819 N Kimball Ave #2, Chicago IL",Albany Park,Condo,185000,,3.1,17,4.19,.,.,.,21.2
"4904 N Kruger Ave, Chicago IL",Albany Park,Single-Family Home,470000,3,1.7,,6.43,.,3049,2574,36.2
"4614 N Kasson Ave, Chicago IL",Albany Park,Multi-Family Home,152000,2,4.46,17,5.7,86,3920,2553,33.3
"4917 N Ridgeway Ave, Chicago IL",Albany Park,Single-Family Home,330000,1,7.57,19,4.73,87,3920,1479,14.3
"4442 N Sacramento Ave, Chicago IL",Albany Park,Multi-Family Home,354000,2,1.71,17,3.73,96,3920,2440,37.5
"4110 W Argyle St, Chicago IL",Albany Park,Single-Family Home,311000,1,2,19,5.33,88,4792,760,14.3
"4731 N Kiona Ave, Chicago IL",Albany Park,Single-Family Home,231000,1,3.33,18,5.65,87,3920,1350,33.3
"4723 N Avers Ave, Chicago IL",Albany Park,Multi-Family Home,146000,2,6.87,18,5.01,85,3920,2502,59.5
"4614 N Saint Louis Ave, Chicago IL",Albany Park,Multi-Family Home,247000,2,4.4,,4.49,100,4792,2194,16.7
"5040 N Monticello Ave, Chicago IL",Albany Park,Single-Family Home,230000,1,3.4,,4.53,84,3920,1176,36.2
"5014 N Hamlin Ave, Chicago IL",Albany Park,Single-Family Home,210000,1,4.87,19,4.79,87,4356,1396,14.3
"4455 N Albany Ave #1N, Chicago IL",Albany Park,Condo,220000,,1.71,18,3.87,.,.,.,37.5
"3237 W Sunnyside Ave #2E, Chicago IL",Albany Park,Condo,190000,,3.74,17,4.13,.,.,.,37.5
"4636 N Avers Ave, Chicago IL",Albany Park,Multi-Family Home,110000,2,7.87,18,5.08,100,3049,1600,21.2
"4518 N Whipple St, Chicago IL",Albany Park,Multi-Family Home,510000,3,1.96,18,3.77,90,3920,3048,37.5
"4834 N Kentucky Ave, Chicago IL",Albany Park,Single-Family Home,185000,1,1.7,17,6.3,87,4356,1014,36.2
"4941 N Albany Ave #2, Chicago IL",Albany Park,Condo,260000,,1.7,20,3.62,.,.,.,57.1
"2712-2714 W Montrose Ave, Chicago IL",Albany Park,Multi-Family Home,400000,2,0,16,3.28,100,6098,6814,16.7
"4650 N Karlov Ave, Chicago IL",Albany Park,Multi-Family Home,180000,,5.67,18,5.51,82,.,.,21.2
"4441 W Ainslie St #1, Chicago IL",Albany Park,Condo,150000,,1.2,18,5.98,.,.,.,36.2
"3550 W Montrose Ave #108, Chicago IL",Albany Park,Condo,123000,,5.48,15,4.7,.,.,.,21.2
"4851 N Kostner Ave, Chicago IL",Albany Park,Multi-Family Home,270000,2,0.7,18,5.88,87,3920,2580,36.2
"4820 N Avers Ave #2E, Chicago IL",Albany Park,Condo,53500,,6.87,18,4.98,.,.,.,14.3
"4450 N Central Park Ave, Chicago IL",Albany Park,Single-Family Home,97000,1,5.48,17,4.75,98,4792,1761,21.2
"5027 N Harding Ave #3E, Chicago IL",Albany Park,Condo,30500,,3.75,18,5.02,.,.,.,14.3
"3550 W Montrose Ave #P-29, Chicago IL",Albany Park,Condo,170000,,5.48,15,4.7,.,.,.,21.2
"3550 W Montrose Ave #303, Chicago IL",Albany Park,Condo,170000,,5.48,15,4.7,.,.,.,21.2
"4622 N Drake Ave, Chicago IL",Albany Park,Single-Family Home,132000,2,4.9,18,4.57,96,4792,1488,16.7
"4819 N Kedvale Ave, Chicago IL",Albany Park,Multi-Family Home,300000,2,3.67,18,5.47,47,3920,2639,14.3
"4445 N California Ave, Chicago IL",Albany Park,Multi-Family Home,399000,2,0.45,16,3.37,90,3920,2574,16.7
"4807 N Elston Ave, Chicago IL",Albany Park,Multi-Family Home,200000,1,1.2,16,6.08,87,2178,3574,36.2
"4816 N Avers Ave #2W, Chicago IL",Albany Park,Condo,55000,,6.87,18,4.98,.,.,.,14.3
"4912 N Kedzie Ave #1N, Chicago IL",Albany Park,Condo,95000,,1.7,18,3.83,.,.,.,57.1
"4943 N Tripp Ave, Chicago IL",Albany Park,Single-Family Home,253000,1,1.83,18,5.58,90,3920,1560,36.2
"4712 N Saint Louis Ave, Chicago IL",Albany Park,Multi-Family Home,130000,2,4.4,,4.44,90,3920,3036,16.7
"4952 N Monticello Ave, Chicago IL",Albany Park,Multi-Family Home,255000,2,3.73,20,4.57,95,3920,2480,14.3
"5027 N Harding Ave #1E, Chicago IL",Albany Park,Condo,33000,,3.75,18,5.02,.,.,.,14.3
"4810 N Avers Ave #3E, Chicago IL",Albany Park,Condo,50500,,6.87,18,4.98,.,.,.,14.3
"4651 N Springfield Ave, Chicago IL",Albany Park,Single-Family Home,185000,1,7.87,18,5.13,98,3049,989,21.2
"4818 N Avers Ave #1W, Chicago IL",Albany Park,Condo,49000,,6.87,18,4.98,.,.,.,14.3
"4958 N Keeler Ave, Chicago IL",Albany Park,Single-Family Home,257000,1,2.33,19,5.51,90,3485,1300,36.2
"4667 N Kasson Ave, Chicago IL",Albany Park,Single-Family Home,190000,1,4.46,17,5.79,94,3920,1130,33.3
"4827 N Lowell Ave, Chicago IL",Albany Park,Single-Family Home,55000,1,0.7,18,5.81,89,3920,1389,36.2
"4606 N Monticello Ave #2S, Chicago IL",Albany Park,Condo,47000,,5.23,19,4.75,.,.,.,59.5
"4421 N Lawndale Ave #3B, Chicago IL",Albany Park,Condo,48000,,5.78,17,4.9,.,.,.,21.2
"3852 W Argyle St, Chicago IL",Albany Park,Multi-Family Home,155000,2,4.2,19,4.99,130,3920,2200,14.3
"2717 W Windsor Ave, Chicago IL",Albany Park,Single-Family Home,625000,2,0.25,17,3.25,100,3485,2124,16.7
"4826 N Central Park Ave, Chicago IL",Albany Park,Multi-Family Home,300000,4,5.1,18,4.55,86,4792,7111,59.5
"4451 N Bernard St, Chicago IL",Albany Park,Single-Family Home,260000,1,2.74,17,4.47,96,3920,1650,16.7
"4812 N Avers Ave #1W, Chicago IL",Albany Park,Condo,60000,,6.87,18,4.98,.,.,.,14.3
"4814 N Avers Ave #1E, Chicago IL",Albany Park,Condo,45000,,6.87,18,4.98,.,.,.,14.3
"3214 W Leland Ave #A, Chicago IL",Albany Park,Condo,66000,,3.4,18,3.96,.,.,.,21.2
"4418 N California Ave, Chicago IL",Albany Park,Multi-Family Home,365055,2,0.45,16,3.4,86,3920,2061,81
"3750 W Sunnyside Ave, Chicago IL",Albany Park,Multi-Family Home,155000,2,7.78,18,4.96,93,3049,2090,21.2
"3550 W Montrose Ave #107, Chicago IL",Albany Park,Condo,237000,,5.48,15,4.7,.,.,.,21.2
"3550 W Montrose Ave #P-19, Chicago IL",Albany Park,Condo,237000,,5.48,15,4.7,.,.,.,21.2
"4724 N Kennicott Ave, Chicago IL",Albany Park,Multi-Family Home,175000,2,4.67,18,5.51,104,3485,2156,33.3
"5021 N Kimberly Ave, Chicago IL",Albany Park,Single-Family Home,150000,1,1,16,6.27,95,3485,1744,36.2
"5017 N Kimberly Ave, Chicago IL",Albany Park,,150000,,1,16,6.28,.,.,.,36.2
"4723 N Central Park Ave, Chicago IL",Albany Park,Multi-Family Home,200000,2,4.9,18,4.58,92,3920,2448,59.5
"4829 N Kimball Ave #2, Chicago IL",Albany Park,Condo,187500,,3.1,17,4.18,.,.,.,21.2
"4825 N Karlov Ave, Chicago IL",Albany Park,Multi-Family Home,190000,2,4.67,18,5.38,86,4356,2284,14.3
"4814 N Avers Ave #1W, Chicago IL",Albany Park,Condo,56000,,6.87,18,4.98,.,.,.,14.3
"4906 N Lawndale Ave, Chicago IL",Albany Park,Multi-Family Home,275000,2,4.73,19,4.68,94,4792,2876,14.3
"4919 N Troy St, Chicago IL",Albany Park,Multi-Family Home,165000,2,1.7,19,3.71,95,3920,2658,57.1
"3215 W Sunnyside Ave #3A, Chicago IL",Albany Park,Condo,213000,,3.74,17,4.07,.,.,.,37.5
"4457 N Central Park Ave #1, Chicago IL",Albany Park,Condo,155000,,5.48,17,4.72,.,.,.,21.2
"4541 N Kedvale Ave, Chicago IL",Albany Park,Single-Family Home,170000,1,4.17,17,5.6,88,3920,999,33.3
"4654 N Saint Louis Ave #2F, Chicago IL",Albany Park,Condo,59500,,4.4,.,4.47,.,.,.,16.7
"4859 N Harding Ave #1, Chicago IL",Albany Park,Condo,136500,,6.42,18,5.11,.,.,.,14.3
"4900 N Springfield Ave #3, Chicago IL",Albany Park,Condo,175000,,4.87,19,5.02,.,.,.,14.3
"5046 N Monticello Ave, Chicago IL",Albany Park,Single-Family Home,170000,1,3.4,20,4.53,84,3920,1128,36.2
"4537 N Troy St, Chicago IL",Albany Park,Multi-Family Home,280000,3,2.99,18,3.91,87,3920,3108,37.5
"4747 N Keystone Ave, Chicago IL",Albany Park,Single-Family Home,210000,1,4.67,18,5.35,57,3920,1089,14.3
"4510 N Springfield Ave, Chicago IL",Albany Park,Multi-Family Home,260000,2,7.87,18,5.22,53,4792,2223,21.2
"4527 N Saint Louis Ave, Chicago IL",Albany Park,Single-Family Home,435000,1,4.23,.,4.51,102,4792,948,16.7
"4942 N Spaulding Ave #2, Chicago IL",Albany Park,Condo,235000,,2.9,19,3.98,.,.,.,21.2
"5025 N Kildare Ave, Chicago IL",Albany Park,Single-Family Home,277000,1,0.5,19,5.62,86,3920,1032,36.2
"4911 N Kruger Ave, Chicago IL",Albany Park,Multi-Family Home,160000,2,1.7,17,6.41,99,3049,1452,36.2
"5019 N Central Park Ave, Chicago IL",Albany Park,Single-Family Home,310000,1,3.57,19,4.43,88,4356,1254,51.9
"3222 W Eastwood Ave, Chicago IL",Albany Park,Condo,306000,,3.41,18,4,.,.,.,16.7
"3053 W Eastwood Ave #3W, Chicago IL",Albany Park,Condo,260000,,1.7,19,3.71,.,.,.,37.5
"5050 N Kedvale Ave, Chicago IL",Albany Park,Single-Family Home,208000,2,2,19,5.37,87,3920,1122,36.2
"4843 N Troy St #2A, Chicago IL",Albany Park,Condo,268000,,2.4,19,3.75,.,.,.,57.1
"4632 N Drake Ave #1N, Chicago IL",Albany Park,Condo,265000,,4.9,18,4.57,.,.,.,16.7
"4712 N Kewanee Ave, Chicago IL",Albany Park,Condo,87000,,4.79,18,5.62,.,.,.,33.3
"4838 N Kenneth Ave, Chicago IL",Albany Park,Multi-Family Home,328000,3,1.2,17,5.99,86,3920,4068,36.2
"4652 N Kennicott Ave, Chicago IL",Albany Park,Multi-Family Home,175000,2,4.67,17,5.59,85,3920,2240,33.3
"4452 N Saint Louis Ave, Chicago IL",Albany Park,Single-Family Home,340000,2,3.98,.,4.58,101,5227,2196,16.7
"3738 W Sunnyside Ave, Chicago IL",Albany Park,Multi-Family Home,65000,2,7.78,18,4.94,115,4792,1472,21.2
"3107 W Sunnyside Ave #2, Chicago IL",Albany Park,Condo,236500,,2.74,18,3.89,.,.,.,37.5
"4405 N Sacramento Ave #3B, Chicago IL",Albany Park,Condo,230000,,1.71,17,3.72,.,.,.,81
"4841 N Kilpatrick Ave, Chicago IL",Albany Park,Single-Family Home,220000,1,1.7,16,6.37,92,4792,1338,36.2
"3743 W Windsor Ave, Chicago IL",Albany Park,Single-Family Home,100000,1,8.87,18,4.97,86,4356,987,21.2
"4928 N Tripp Ave, Chicago IL",Albany Park,Single-Family Home,280000,1,1.83,18,5.61,88,3920,1075,36.2
"2924 W Wilson Ave, Chicago IL",Albany Park,Single-Family Home,1375000,1,1.71,18,3.51,97,5227,1811,37.5
"4831 N Kentucky Ave, Chicago IL",Albany Park,Single-Family Home,95000,1,1.7,17,6.29,93,4356,1491,36.2
"4649 N Drake Ave #3, Chicago IL",Albany Park,Condo,239500,,4.9,18,4.53,.,.,.,16.7
"5139 N Tripp Ave, Chicago IL",Albany Park,Single-Family Home,100500,1,1.61,19,5.47,84,3920,1114,36.2
"4986 N Kilpatrick Ave, Chicago IL",Albany Park,Single-Family Home,243000,1,1.5,17,6.07,83,3920,1126,36.2
"4709 N Avers Ave, Chicago IL",Albany Park,Single-Family Home,235000,1,6.87,18,5.01,95,3920,999,59.5
"5005 N Lowell Ave, Chicago IL",Albany Park,Single-Family Home,200000,1,0.58,18,5.71,87,3920,1190,36.2
"4702 N Saint Louis Ave #1, Chicago IL",Albany Park,Condo,250000,,4.4,.,4.44,.,.,.,16.7
"3501 W Wilson Ave #3, Chicago IL",Albany Park,Condo,208000,,3.48,17,4.5,.,.,.,16.7
"2702 W Montrose Ave #2W, Chicago IL",Albany Park,Condo,331000,,0,16,3.27,.,.,.,16.7
"4713 N Saint Louis Ave, Chicago IL",Albany Park,Multi-Family Home,230000,3,4.4,.,4.41,94,3920,2928,16.7
"4516 N Keystone Ave, Chicago IL",Albany Park,Single-Family Home,355000,1,6.17,17,5.48,100,3049,660,21.2
"4737 N Sacramento Ave, Chicago IL",Albany Park,Single-Family Home,422000,3,1.7,19,3.55,86,4356,2365,37.5
"5034 N Monticello Ave, Chicago IL",Albany Park,Single-Family Home,295000,1,3.4,20,4.53,84,3920,1182,36.2
"5128 N Kildare Ave, Chicago IL",Albany Park,Single-Family Home,158500,2,0.5,19,5.59,85,3920,1031,36.2
"4829 N Kimball Ave #3, Chicago IL",Albany Park,Condo,193500,,3.1,17,4.18,.,.,.,21.2
"4622 N Karlov Ave, Chicago IL",Albany Park,,502500,,5.67,17,5.52,.,.,.,33.3
"3751 W Giddings St, Chicago IL",Albany Park,Single-Family Home,275000,1,7.87,19,4.87,90,3920,1264,59.5
"4953 N Monticello Ave, Chicago IL",Albany Park,Multi-Family Home,162000,2,3.73,20,4.55,94,3920,2772,36.2
"4955 N Kilbourn Ave, Chicago IL",Albany Park,Single-Family Home,249500,1,1,17,6,83,3920,1095,36.2
"5015 N Kilbourn Ave, Chicago IL",Albany Park,Single-Family Home,320000,1,1,18,5.99,83,3920,1146,36.2
"4726 N Avers Ave, Chicago IL",Albany Park,Single-Family Home,243000,1,6.87,18,5.03,85,3920,1034,59.5
"4814 N Bernard St, Chicago IL",Albany Park,Single-Family Home,175000,2,3.6,19,4.3,96,3920,1633,51.9
"4905 N Kildare Ave, Chicago IL",Albany Park,Single-Family Home,259000,1,0.83,19,5.68,88,3920,1247,36.2
"3000 W Sunnyside Ave #2, Chicago IL",Albany Park,Condo,215000,,1.88,18,3.7,.,.,.,37.5
"3041 W Sunnyside Ave #3, Chicago IL",Albany Park,Condo,218000,,1.71,18,3.8,.,.,.,37.5
"4429 N Bernard St, Chicago IL",Albany Park,Multi-Family Home,313000,2,2.74,17,4.48,96,3920,2174,16.7
"4946 N Harding Ave #2W, Chicago IL",Albany Park,Condo,41000,,4.42,18,5.08,.,.,.,14.3
"5053 N Lowell Ave, Chicago IL",Albany Park,Single-Family Home,174500,1,0.58,19,5.69,84,3920,1104,36.2
"4458 N Albany Ave #3, Chicago IL",Albany Park,Condo,248000,,1.71,18,3.89,.,.,.,37.5
"3113 W Wilson Ave, Chicago IL",Albany Park,Multi-Family Home,231500,2,2.41,18,3.85,101,3920,2220,37.5
"4910 N Drake Ave #2, Chicago IL",Albany Park,Condo,217000,,3.4,20,4.42,.,.,.,51.9
"4614 N Hamlin Ave, Chicago IL",Albany Park,Single-Family Home,137000,1,7.62,19,5,94,3049,963,21.2
"3550 W Montrose Ave #403, Chicago IL",Albany Park,Condo,160000,,5.48,15,4.7,.,.,.,21.2
"4844 N Tripp Ave, Chicago IL",Albany Park,Multi-Family Home,260000,2,2.53,18,5.65,92,3920,2100,36.2
"4660 N Spaulding Ave #3, Chicago IL",Albany Park,Condo,237500,,3.4,18,4.12,.,.,.,16.7
"4986 N Elston Ave, Chicago IL",Albany Park,Single-Family Home,160000,2,1.5,16,6.35,95,3049,1369,36.2
"4714 N Bernard St #3E, Chicago IL",Albany Park,Condo,155000,,3.4,18,4.35,.,.,.,16.7
"5105 N Kildare Ave, Chicago IL",Albany Park,Single-Family Home,232000,1,0.5,19,5.57,86,3920,1085,36.2
"3720 W Giddings St, Chicago IL",Albany Park,Single-Family Home,120000,2,7.87,19,4.83,90,4792,1108,59.5
"3951 W Ainslie St #8, Chicago IL",Albany Park,Townhome,202500,2,4.92,18,5.13,.,871,1316,14.3
"3941 W Ainslie St #A, Chicago IL",Albany Park,Townhome,134000,1,4.92,18,5.12,57,1307,1076,14.3
"4840 N Harding Ave, Chicago IL",Albany Park,Single-Family Home,134000,,6.42,18,5.14,.,.,.,14.3
"4814 N Kentucky Ave, Chicago IL",Albany Park,Multi-Family Home,293000,2,1.7,17,6.33,86,6970,1788,36.2
"4559 N Saint Louis Ave, Chicago IL",Albany Park,Single-Family Home,103000,1,4.23,.,4.5,98,3049,1743,16.7
"3749 W Wilson Ave, Chicago IL",Albany Park,Single-Family Home,230000,1,8.12,18,4.92,54,3920,1056,21.2
"4546 N Albany Ave #3, Chicago IL",Albany Park,Condo,183500,,1.96,18,3.85,.,.,.,37.5
"4931 N Drake Ave, Chicago IL",Albany Park,Multi-Family Home,201000,2,3.4,20,4.39,90,3920,2484,51.9
"4738 N Springfield Ave, Chicago IL",Albany Park,Single-Family Home,343500,2,6.87,18,5.11,100,3049,1345,59.5
"3217 W Leland Ave #5, Chicago IL",Albany Park,Condo,340000,,3.4,18,3.96,.,.,.,21.2
"3217 W Leland Ave #2E, Chicago IL",Albany Park,Condo,340000,,3.4,18,3.96,.,.,.,21.2
"4716 N Springfield Ave, Chicago IL",Albany Park,Single-Family Home,450000,2,6.87,18,5.12,.,3049,2286,59.5
"5119 N Kostner Ave, Chicago IL",Albany Park,Single-Family Home,276000,1,0.58,19,5.74,85,3920,1182,36.2
"2825 W Eastwood Ave, Chicago IL",Albany Park,Single-Family Home,392500,1,1.2,18,3.34,91,3485,1288,16.7
"4454 N Albany Ave #2, Chicago IL",Albany Park,Condo,242500,,1.71,18,3.9,.,.,.,37.5
"4524 N Whipple St, Chicago IL",Albany Park,Single-Family Home,540000,1,1.96,18,3.77,102,3920,1524,37.5
"2863 W Leland Ave #3, Chicago IL",Albany Park,Condo,222500,,1.2,18,3.41,.,.,.,37.5
"3507 W Wilson Ave #1, Chicago IL",Albany Park,Condo,189000,,3.48,17,4.51,.,.,.,16.7
"4742 N Kildare Ave, Chicago IL",Albany Park,Multi-Family Home,197000,2,1.53,18,5.78,95,3485,2252,33.3
"3203 W Argyle St #2E, Chicago IL",Albany Park,Condo,178000,,2.9,19,3.79,.,.,.,57.1
"3650 W Leland Ave, Chicago IL",Albany Park,Condo,183000,,5.73,19,4.72,.,.,.,59.5
"4419 N Lawndale Ave #2B, Chicago IL",Albany Park,Condo,151000,,5.78,17,4.9,.,.,.,21.2
"3748 W Eastwood Ave, Chicago IL",Albany Park,Multi-Family Home,245500,2,8.87,19,4.92,84,3920,3596,59.5
"2911 W Eastwood Ave, Chicago IL",Albany Park,Single-Family Home,560000,1,1.7,18,3.48,88,5227,1748,37.5
"4637 N Central Park Ave #2S, Chicago IL",Albany Park,Condo,238000,,4.9,18,4.62,.,.,.,59.5
"2703 W Agatite Ave, Chicago IL",Albany Park,Single-Family Home,1230000,2,0,17,3.2,84,4356,2924,16.7
"3400 W Lawrence Ave, Chicago IL",Albany Park,Condo,184500,,2.65,17,4.22,.,.,.,16.7
"5143 N Kolmar Ave, Chicago IL",Albany Park,Single-Family Home,320000,1,1,17,5.99,83,3920,978,36.2
"4653 N Lawndale Ave #1S, Chicago IL",Albany Park,Condo,293000,,6.03,19,4.79,.,.,.,59.5
"4900 N Lawndale Ave #1, Chicago IL",Albany Park,Condo,225000,,4.73,19,4.68,.,.,.,14.3
"4024 W Montrose Ave, Chicago IL",Albany Park,Condo,45000,,6.67,15,5.51,.,.,.,64.3
"2861 W Leland Ave #2, Chicago IL",Albany Park,Condo,214500,,1.2,18,3.4,.,.,.,37.5
"4920 N Whipple St, Chicago IL",Albany Park,Single-Family Home,237000,1,1.7,20,3.57,89,3920,1175,57.1
"4606 N Kedvale Ave, Chicago IL",Albany Park,Single-Family Home,339000,1,4.67,17,5.61,90,3920,820,33.3
"4530 N Central Park Ave, Chicago IL",Albany Park,Multi-Family Home,283500,3,5.73,18,4.7,90,3920,4402,16.7
"4843 N Kenneth Ave, Chicago IL",Albany Park,Multi-Family Home,265000,2,1.2,17,5.98,87,3920,2476,36.2
"3102 W Argyle St #2, Chicago IL",Albany Park,Condo,50000,,1.7,20,3.61,.,.,.,57.1
"4918 S Tripp Ave, Chicago IL",Archer Heights,Multi-Family Home,148500,2,1.25,15,10.36,79,3920,2312,27.3
"4718 S Tripp Ave, Chicago IL",Archer Heights,Single-Family Home,160000,1,1.25,14,10.25,56,3920,992,36.2
"4830 S Ridgeway Ave, Chicago IL",Archer Heights,Single-Family Home,193500,1,1,15,9.46,53,4792,1104,33.3
"4623 S Keeler Ave, Chicago IL",Archer Heights,Multi-Family Home,170000,2,0.5,14,10.09,82,3920,2338,36.2
"4901 S Keeler Ave, Chicago IL",Archer Heights,Single-Family Home,155000,2,1.5,16,10.24,83,3920,1621,27.3
"4628 S Harding Ave, Chicago IL",Archer Heights,Multi-Family Home,235000,2,0.5,13,9.7,79,3920,2527,33.3
"4725 S Kildare Ave, Chicago IL",Archer Heights,Single-Family Home,150000,1,1.17,15,10.32,62,3920,864,36.2
"4335 S Keeler Ave, Chicago IL",Archer Heights,Single-Family Home,213000,1,0,13,9.95,47,3920,1108,36.2
"5152 S Kildare Ave, Chicago IL",Archer Heights,Single-Family Home,79500,1,1.37,16,10.56,91,3049,1613,36.2
"5234 S Kolin Ave, Chicago IL",Archer Heights,Single-Family Home,161500,1,1.37,16,10.69,50,3049,900,36.2
"4830 S Keeler Ave, Chicago IL",Archer Heights,Multi-Family Home,70000,2,1.5,15,10.23,91,3920,1928,27.3
"4548 S Kedvale Ave, Chicago IL",Archer Heights,Single-Family Home,180000,1,0.25,14,9.99,68,3920,1404,36.2
"5013 S Tripp Ave, Chicago IL",Archer Heights,Single-Family Home,140000,1,1.25,16,10.39,83,3920,1311,36.2
"5245 S Kostner Ave, Chicago IL",Archer Heights,Single-Family Home,130000,1,1.37,16,10.76,48,3049,1040,33.3
"4600 S Springfield Ave, Chicago IL",Archer Heights,Multi-Family Home,160000,3,0.5,14,9.6,52,5227,3156,33.3
"4829 S Keeler Ave, Chicago IL",Archer Heights,Single-Family Home,155000,1,1.5,15,10.2,84,3920,694,27.3
"5001 S Tripp Ave, Chicago IL",Archer Heights,Multi-Family Home,300000,3,1.25,15,10.38,79,3920,3706,36.2
"4915 S Karlov Ave, Chicago IL",Archer Heights,Single-Family Home,155000,1,0.5,15,10.08,93,3920,792,27.3
"4737 S Keeler Ave, Chicago IL",Archer Heights,Multi-Family Home,170000,1,1.5,15,10.15,91,3920,1600,36.2
"4719 S Kolin Ave, Chicago IL",Archer Heights,Single-Family Home,160000,1,1.17,.,10.4,55,3920,1112,36.2
"4834 S Kolin Ave, Chicago IL",Archer Heights,Single-Family Home,165000,1,1.53,15,10.48,52,3920,1196,36.2
"4712 S Ridgeway Ave, Chicago IL",Archer Heights,Multi-Family Home,60000,2,1,14,9.4,86,3049,3056,33.3
"4941 S Karlov Ave, Chicago IL",Archer Heights,Single-Family Home,145000,1,0.5,15,10.09,68,3920,1305,40.8
"4834 S Kostner Ave, Chicago IL",Archer Heights,Single-Family Home,211000,1,1.53,15,10.57,58,5227,1031,33.3
"4848 S Kolin Ave, Chicago IL",Archer Heights,Multi-Family Home,210000,2,1.53,15,10.49,82,3920,1944,33.3
"4855 S Kostner Ave, Chicago IL",Archer Heights,Single-Family Home,193000,1,1.53,15,10.55,58,3920,1078,33.3
"4440 S Kedvale Ave, Chicago IL",Archer Heights,Single-Family Home,161000,1,0.25,14,9.94,54,3920,1186,36.2
"4713 S Keeler Ave, Chicago IL",Archer Heights,Lot/Land,42000,,1.5,15,10.14,.,.,.,36.2
"4953 S Tripp Ave, Chicago IL",Archer Heights,Single-Family Home,72000,2,1.25,15,10.35,97,3920,1634,36.2
"4822 S Tripp Ave, Chicago IL",Archer Heights,Single-Family Home,180000,1,1.25,15,10.31,79,3920,1225,36.2
"4422 S Kedvale Ave, Chicago IL",Archer Heights,Single-Family Home,115000,1,0.25,13,9.93,85,3920,712,36.2
"5137 S Kilbourn Ave, Chicago IL",Archer Heights,Single-Family Home,185000,2,1.87,16,10.87,84,4356,1123,33.3
"3825 W 46th Pl, Chicago IL",Archer Heights,Multi-Family Home,151000,2,0.5,14,9.46,24,3920,1812,33.3
"5201 S Kostner Ave, Chicago IL",Archer Heights,Multi-Family Home,282000,2,1.37,16,10.74,50,5663,2122,33.3
"4725 S Kilbourn Ave, Chicago IL",Archer Heights,Single-Family Home,180000,1,1.31,14,10.66,52,3920,1073,16.7
"4806 S Harding Ave, Chicago IL",Archer Heights,Single-Family Home,150000,1,1,14,9.79,84,3920,1248,33.3
"4725 S Tripp Ave, Chicago IL",Archer Heights,Single-Family Home,165000,2,1.25,14,10.23,58,3920,894,36.2
"5051 S Kilbourn Ave, Chicago IL",Archer Heights,Single-Family Home,131000,1,2.03,16,10.82,52,3920,1058,33.3
"3914 W 47th St, Chicago IL",Archer Heights,Multi-Family Home,180000,2,0.5,13,9.67,49,3920,1711,33.3
"4744 S Keeler Ave, Chicago IL",Archer Heights,Multi-Family Home,370000,3,1.5,15,10.18,23,5663,3645,36.2
"5158 S Tripp Ave, Chicago IL",Archer Heights,Single-Family Home,190000,1,1,16,10.48,41,3049,1080,36.2
"5019 S Kilbourn Ave, Chicago IL",Archer Heights,Multi-Family Home,217000,2,2.03,16,10.81,46,3920,1843,33.3
"4322 S Komensky Ave, Chicago IL",Archer Heights,Single-Family Home,235000,1,0,13,9.71,54,3920,1123,36.2
"4610 S Avers Ave, Chicago IL",Archer Heights,Single-Family Home,170000,1,0.5,14,9.52,52,3920,1188,33.3
"4916 S Komensky Ave, Chicago IL",Archer Heights,Multi-Family Home,90000,3,1,14,10.02,96,3920,2093,27.3
"5011 S Karlov Ave, Chicago IL",Archer Heights,Single-Family Home,143000,1,0.67,15,10.13,91,3920,1036,40.8
"4519 S Komensky Ave, Chicago IL",Archer Heights,Single-Family Home,172500,1,0.25,13,9.79,60,3920,864,36.2
"4326 S Komensky Ave, Chicago IL",Archer Heights,Single-Family Home,187000,1,0,13,9.71,54,3920,1123,36.2
"5245 S Tripp Ave, Chicago IL",Archer Heights,Single-Family Home,86000,1,1,16,10.5,101,3049,736,36.2
"4719 S Tripp Ave, Chicago IL",Archer Heights,Single-Family Home,129500,1,1.25,14,10.23,55,3920,990,36.2
"4822 S Karlov Ave, Chicago IL",Archer Heights,Single-Family Home,106000,1,0.5,15,10.05,95,3920,943,27.3
"4451 S Kedvale Ave, Chicago IL",Archer Heights,Single-Family Home,170000,1,0.25,14,9.92,49,4356,1189,36.2
"5135 S Kenneth Ave, Chicago IL",Archer Heights,Single-Family Home,215000,1,1.62,16,10.79,83,3920,1340,33.3
"4433 S Karlov Ave, Chicago IL",Archer Heights,Single-Family Home,126000,1,0.25,13,9.83,60,3920,676,36.2
